제품명,C-Code
사데닌정Sadenin Tab.,K-009563
에이리스정Alesse Tab.,K-010270
썰타목스정500mgSultamox Tab. 500mg,K-010281
클래신정Clasin Tab.,K-010731
레보록신정Levoloxin Tab.,K-010733
훼로바유서방정Feroba-You SR Tab.,K-010749
클래리정250mgClari Tab. 250mg,K-010931
파크러캡슐Faclor Cap. 250mg,K-010934
유나신정375mgUnasyn Tab. 375mg,K-011274
중외세파클러캡슐Cefaclor Cap. Choongwae,K-011396
시프로셀정250mgCiprocell Tab. 250mg,K-011530
레보미신정Levomicin Tab.,K-011564
유크라정375mgYucla Tab. 375mg,K-011566
맥시크란정Maxiclan Tab.,K-011701
아목시클정(7:1)Amoxicle Tab.,K-011833
레복사신정500mgLevoxacin Tab. 500mg,K-012080
탈스탑캡슐Talstop Cap.,K-012150
명문세파클러수화물캡슐250mgCefaclor Hydrate Cap. 250mg Myungmoon,K-012178
팩티브정320mgFactive Tab. 320mg,K-012187
데놀정Denol Tab.,K-012207
노르믹스정Normix Tab.,K-012506
클로신정250mgClocin Tab. 250mg,K-012606
메솔론정Mesolon Tab.,K-012649
세파로캡슐Cefaro Cap.,K-012742
다보타민큐정Dabotamin Q Tab.,K-012778
세크런캡슐Cecrun Cap.,K-012979
펩스리드정Pepsrid Tab.,K-013028
씬지록신정50μgSynthyroxine Tab. 50㎍,K-013103
뉴클러캡슐Nuclur Cap.,K-013129
클라로마정500mgClaroma Tab.500mg,K-013273
레보팔시드정Levopalsid Tab.,K-013618
경보세파클러캡슐Kyongbo Cefaclor Cap.,K-013635
삼성세파클러캡슐250mgCefaclor Cap. 250mg Samsung,K-014143
나노크라정375mgNanocra Tab. 375mg,K-014206
위더스세프라딘캡슐500mgWithus Cefradine Cap. 500mg,K-014228
시클러캡슐250mgCeclor Cap. 250mg,K-014258
시클러MR서방정375mgCeclor MR Tab. 375mg,K-014261
삐콤씨에이스정Beecom-C Ace Tab.,K-014274
바이넥스세파클러캡슐Cefaclor Cap. Binex,K-014300
세프레캡슐250mgCefre Cap. 250mg,K-014320
카모딕스현탁정78.125mgCamodix Dispersible Tab. 78.125mg,K-014383
세바클캡슐250mgCebacle Cap. 250mg,K-014487
일양세파클러캡슐250mgCefaclor Cap. 250mg Ilyang,K-014607
